canton,total,locataire,cooperateur,proprietaire_logement,proprietaire_maison,autre_situation,taux_logements_proprietaire
AG,317086,159826,3737,42454,101955,9114,45.5
AI,6835,3174,,650,2726,247,49.4
AR,24894,12193,123,2699,8979,900,46.9
BE,494074,277918,10851,55859,131788,17658,38.0
BL,134530,69569,3158,13278,45177,3347,43.5
BS,100005,73259,9198,7101,8752,1695,15.9
FR,145358,76700,730,16219,44463,7245,41.7
GE,209683,155533,8301,19844,18808,7197,18.4
GL,18865,9053,217,1323,7603,669,47.3
GR,96487,48323,1675,15702,26696,4090,43.9
JU,33852,14684,363,2596,14548,1661,50.6
LU,190682,115243,5355,25443,39609,5032,34.1
NE,84230,55391,1173,9077,16149,2440,29.9
NW,20303,11422,371,3991,3771,748,38.2
OW,17171,8639,,2667,4753,1004,43.2
SG,236574,135060,3613,26963,64579,6360,38.7
SH,40258,21684,884,4062,12656,972,41.5
SO,129829,65203,1489,12000,47301,3836,45.7
SZ,73355,41008,817,11061,17797,2672,39.3
TG,130049,67421,1315,14203,43773,3338,44.6
TI,170252,92929,689,24064,41025,11544,38.2
UR,16530,7777,450,2408,5321,574,46.8
VD,375744,244027,4932,46511,66375,13899,30.0
VS,165965,68726,511,41490,47517,7720,53.6
ZG,57023,36431,963,10077,7958,1594,31.6
ZH,723365,464580,51574,81505,111712,13995,26.7
